combat,time,round,actor,action,target,damage,actor_PV,target_PV
1,2025-11-06T09:28:13.281,1,Jed,skill,Hussin,77,100,43
1,2025-11-06T09:28:13.281,1,Hussin,attack,Jed,27,43,73
1,2025-11-06T09:28:13.282,2,Jed,skill,Hussin,35,73,8
1,2025-11-06T09:28:13.282,2,Hussin,attack,Jed,43,8,30
1,2025-11-06T09:28:13.283,3,Jed,attack,Hussin,8,30,0
2,2025-11-06T09:28:13.283,1,Jed,skill,Hussin,34,100,86
2,2025-11-06T09:28:13.284,1,Hussin,attack,Jed,30,86,70
2,2025-11-06T09:28:13.284,2,Jed,skill,Hussin,33,70,53
2,2025-11-06T09:28:13.285,2,Hussin,skill,Jed,39,53,31
2,2025-11-06T09:28:13.286,3,Jed,attack,Hussin,14,31,39
2,2025-11-06T09:28:13.287,3,Hussin,attack,Jed,31,39,0
3,2025-11-06T09:28:13.287,1,Jed,skill,Hussin,33,100,87
3,2025-11-06T09:28:13.288,1,Hussin,attack,Jed,43,87,57
3,2025-11-06T09:28:13.288,2,Jed,skill,Hussin,33,57,54
3,2025-11-06T09:28:13.289,2,Hussin,attack,Jed,26,54,31
3,2025-11-06T09:28:13.289,3,Jed,attack,Hussin,17,31,37
3,2025-11-06T09:28:13.29,3,Hussin,skill,Jed,31,37,0
4,2025-11-06T09:28:13.29,1,Jed,skill,Hussin,37,100,83
4,2025-11-06T09:28:13.291,1,Hussin,attack,Jed,33,83,67
4,2025-11-06T09:28:13.292,2,Jed,skill,Hussin,33,67,50
4,2025-11-06T09:28:13.292,2,Hussin,attack,Jed,33,50,34
4,2025-11-06T09:28:13.293,3,Jed,attack,Hussin,22,34,28
4,2025-11-06T09:28:13.293,3,Hussin,attack,Jed,25,28,9
4,2025-11-06T09:28:13.294,4,Jed,attack,Hussin,17,9,11
4,2025-11-06T09:28:13.294,4,Hussin,skill,Jed,9,11,0
5,2025-11-06T09:28:13.296,1,Jed,skill,Hussin,39,100,81
5,2025-11-06T09:28:13.296,1,Hussin,skill,Jed,39,81,61
5,2025-11-06T09:28:13.297,2,Jed,skill,Hussin,37,61,44
5,2025-11-06T09:28:13.297,2,Hussin,attack,Jed,28,44,33
5,2025-11-06T09:28:13.297,3,Jed,attack,Hussin,14,33,30
5,2025-11-06T09:28:13.298,3,Hussin,attack,Jed,33,30,0
6,2025-11-06T09:28:13.299,1,Jed,skill,Hussin,38,100,82
6,2025-11-06T09:28:13.3,1,Hussin,skill,Jed,39,82,61
6,2025-11-06T09:28:13.301,2,Jed,skill,Hussin,81,61,1
6,2025-11-06T09:28:13.301,2,Hussin,attack,Jed,32,1,29
6,2025-11-06T09:28:13.302,3,Jed,attack,Hussin,1,29,0
